Answer,Enumeration,Clue,Grid Number
GOVERNMENTSUBSIDY,"10,7","Again, New Mexico fellow about to decrease ""Short Fork Tax"" writeoff",41
LYNX,4,Associates caught wildcat,42
WINK,4,Receive king's flirtation,42
KOALA,5,Southern tree-hugger?,42
QUITS,5,"Leaves capital, shilling for nothing",42
GANGPLANK,9,Company board's way on,42
FINANCIER,9,Aficionado takes in plutocrat,42
VICESQUAD,"4,5","Secures court police, perhaps?",42
REPAYMENT,9,Regret including poor Amy's compensation,42
KICKBOXING,10,I see king and caddy drilling king's martial art,42
CHANGELING,10,Wrong child at church with holy figure in Glasgow,42
JACKRUSSELL,"4,7",I reportedly steal dog,42
ZEROSUMGAME,"4-3,4","It all adds up to nothing, like poker?",42
JUMP,4,Jack usurps king in remainder of spring,43
LAZY,4,Slothful Louisa and Zachary on vacation,43
DOZEN,5,Drop off Midlands 12,43
DOUBT,5,"Be hesitant to conform, but do",43
OWLET,5,Fledgling fowl discovered permit,43
SANTA,5,Devil dragging in no deliveryman?,43
LINGO,5,Jargon covered by journal in Gothenburg,43
STRIKE,6,Hammer to stop working,43
BEHEST,6,Order to destroy Thebes,43
DERIVE,6,"Obtain motivation, taking drug",43
ASTERN,6,"Like seabird, somewhere on ship",43
SHREWD,6,Cunning little creature last to bed,43
IODIDE,6,I- I reportedly died choking on doughnut?,43
INDULGE,7,Revel in dueling flourishes,43
REPLICA,7,Inverted in uracil: perfect copy,43
UNHINGE,7,Infuriate eccentric human being without MBA,43
ROSETTE,7,Bistro set television to display floral arrangement,43
HIGHNOON,"4,4",Helen Banks has almost cycled to castle at midday,43
REACTORS,8,"Pushing carbon deeper inside, architects make nuclear plants",43
WATERPOLO,"5,4",Short battle involving post office and sport,43
INQUIRIES,9,Investigations about core spirits' sparkling sequin,43
VELVETEEN,9,"5-11 has change of heart and accepts alien rabbit, say?",43
ELUCIDATE,9,Explain that Greek mathematician dined with earlier student?,43
CANNELLONI,10,Tin of 'Eleanor and Sonia' shelled pasta,43
LUMINOSITY,10,Brillance of Limousin cocktail thoroughly drained,43
AUTUMNALEQUINOX,"8,7","Fall on top of mutated quail-oxen in September, here",43
BEWARETHEIDESOFMARCH,"6,3,4,2,5",Prophecy: 'Take care a few days before Australian 4 {AUTUMNALEQUINOX}'?,43
ILK,3,Kind of trimmed fabric,44
EYE,3,Whitechapel's high regard?,44
LSD,"3, inits",Acid classed without box (inits),44
ONE,3,I also gain independence at last,44
TNT,"3, inits",Often it's not explosive (inits),44
APT,3,Every third spare part is suitable,44
USES,4,Handles applications,44
LETS,4,We should get permits,44
LOAN,4,Caught single advance,44
ATOM,4,A CAT is a type of bomb,44
SHOO,4,Film ended early—go away,44
EMIR,4,Prince Frost from the East,44
MAST,4,Pole hidden in Christmas tree,44
ORCS,4,"Monsters, or hollow creatures",44
YOUR,4,Solver's history on the radio,44
EASY,4,Gullible Battersea Synod hosts,44
SHIA,4,Boat docked with a Muslim group,44
VIES,4,"Fights smart, to Berliner's ears?",44
KNEW,4,Was aware of novel being broadcast,44
CIAO,4,Spies love saying 'Sayonara!' in Sienna,44
DOCKS,5,Cuts off Piers,44
MODEL,5,Approach left figure,44
MANOR,5,Sound way to get house,44
POINT,5,"Indicate north, perhaps",44
ROACH,5,Hero Achilles caught carp,44
DETER,5,Put off by German half-sister,44
OLDIE,5,Veteran infantryman undressed,44
LASTS,5,Girl assuming tabletop endures,44
SHINE,5,Liking to do exceptionally well,44
SOAKS,5,Ship full of wood takes in water,44
RECAP,5,Review first corn harvest outside,44
STRAY,5,Abandoned good man got the shaft?,44
LIVID,5,"Large, headless, intense and very angry",44
WELSH,5,Even Tweedles Hotel where corgi's from?,44
ICONS,5,Pictures of inmates being crowned by Jack,44
DOWSE,5,Accomplish three points in search for water,44
ISAAC,5,"Jack returned, like current Biblical character",44
NOWAY,"2,3",Right to leave country? Of course not! (2 wds),44
VITAL,5,Essential and relatively refined in retrospect,44
ATALL,"2,3","Bikini, for example, with one for nothing whatseover (2 wds)",44
SIESTA,6,Back at 6 for Spaniard's sleep,44
LINENS,6,Ancestry of Poles in the closet?,44
ICARUS,6,Headless pastor (American) is a failed flyer,44
SOOTHE,6,Initially out of time to stop that woman's console,44
POLICED,7,Performed the beat?,44
SCORPIO,7,Troops cycled to 10 house,44
LATENCY,7,Delay 10 in delicate surroundings,44
PENANCE,7,Final letter left Cornish town for atonement,44
VISCOUNTESSES,13,"Noblewomen (Victoria's) enumerate seconds, we hear?",44
ARABICNUMERAL,"6,7","Like 32 {EMIR} 39 {ONE}, for example, but not fourteen {LIVID}!? (2 wds)",44
ROPE,4,Central European,45
ASHY,4,Grey area lacking,45
PLUM,4,Trade cores of autumnal apples,45
SUNG,4,Revolutionary antelopes spilt the beans,45
ADDER,5,Ranking headless snake,45
WHITE,5,Wild how I tried ecstasy at first,45
LOUNGE,6,Love to interrupt attack,45
CHARMS,6,Cold damages and delights,45
DAGGER,6,One good-for-nothing leader in emergency,45
ERASED,6,Caused 11 {DELETION} of lepidoptera's edible features,45
COLONEL,7,Gathered nut,45
MUSTARD,7,"Oh no, add up!",45
PEACOCK,7,Spooner's vital scar,45
SPANNER,7,"Fight about Nantes, oddly",45
SCARLET,7,"Small Nissan, say, to rent",45
TONNAGE,7,Capacity of agent on manœuevres,45
HOLYCOW,"4,3","What the heck—reportedly, 100% beef",45
NUNNERY,7,Where you learn to live with a habit?,45
STINGER,7,Con the Queen to get a weapon of nature?,45
ENEMIES,7,"Rivals of Jack found in river, having keeled over",45
TADPOLE,7,"Rather French, the gulping Italian river amphibian",45
DRUIDIC,7,"Doctor, up in Doncaster, is caring initially for concerning priests",45
DELETION,8,"Quietly abandoned in exhaustion, like this clue?",45
INUNISON,"2,6","One 3 {NUNNERY}-resident and one heir, at the same time",45
PROFESSOR,9,Fake gold,45
CANTONESE,9,Language on sculpted Caen stone,45
STLAWRENCE,"2,8",North American river-bird in Newcastle?,45
DRAMATISED,10,From Alexandra: mat I seditiously produced,45
CANDLESTICK,11,"Just in case, stops almost-honest cook leaving castle",45
LACK,4,Want careless son to leave,46
LOVE,4,"Discovered one with 4 leaves, perhaps, or 0",46
DATES,5,Steps out with fruit,46
UNDID,5,Some sound ideas released,46
UNTIE,5,Relative without one is free,46
RAZED,5,"Brought up on the radio, and torn down",46
SPRAY,5,Active container for core of black jet,46
EXERT,5,Quietly leaves expert to make an effort,46
RETINUE,7,Train about 11 {UNTIE} cooks,46
TORNADO,7,Tandoor cooking is a disaster,46
CITIZEN,7,Incite riot about unknown resident,46
ANTENNA,7,A new note; we hear it might 3 {RADIATE}?,46
IDIOTIC,7,Silly part of 'Despacito' I didn't renounce,46
RADIATE,7,"Returning from Moneta, I dared to broadcast",46
EJECTED,7,"Expelled in France, I was accepted by unexpected half",46
WIMPIER,7,More delicate maiden invited by community organisation at wharf,46
BEQUEATH,8,"Leave, since you're late?",46
EURYDICE,8,I dye ecru frantically for Orpheus' wife,46
ANNOYANCE,9,Anyone can provoke irritation,46
SLAUGHTER,9,Earl and thugs arranged killing,46
BUTTERNUT,9,"British leader, total madman at squash",46
LOGARITHM,9,Function to record a beat on the radio,46
STAGNATED,9,"On his own Nathaniel briefly died, stood still",46
EVOLUTION,9,About 8 {LOVE} peacekeepers detaining uncle in Chile—that's progress,46
REDHERRINGS,"3,8",Wine the woman calls 'Diversions',46
EMBARRASSES,11,"Teases Selma Blair, or even donkeys",46
ABSENCEMAKESTHEHEARTGROWFONDER,"7,5,3,5,4,6",Saw 20 {LACK} adds to 8 {LOVE}?,46
AGHAST,6,Horrified a monster,47
STREET,6,Setter barking in road,47
OBLONG,6,"Form of endless, noble songs",47
ACTION,6,Court case from leaderless clan,47
COTTON,6,Bedtime—no coming back for yarn,47
ONFIRE,"2,4",Achieving good results by burning,47
BINARY,6,"Oddly, Brian's a grey type of star",47
HEROIC,6,"Oh dear, zodiac sometimes gets daring",47
NESTED,6,Some cadets enlist to climb and fit inside,47
OBTAIN,6,Get some tortelloni at booths from the East,47
EMIRATE,7,"Meatier stews in Qatar, perhaps",47
PENANCE,7,Apologies from streamers on air,47
THIMBLE,7,Stab protection to keep on hand?,47
MEEKEST,7,"In audition, Jack snogged the shiest",47
AMNESIA,7,Confusing name is a medical condition,47
ZEELAND,7,Impulse to stop last letter to some coastal province,47
STICKOUT,"5,3",Last project,47
ENTRANCE,8,Charm with debut,47
EXECUTOR,8,Someone with will-power?,47
NUISANCE,8,Gadfly is trapped in shade,47
SOLUTION,8,Explanation for suspension,47
BANDANNA,8,Group joins woman in kerchief,47
DECLINES,8,"Refuses to be silenced, awkwardly",47
RUFFLING,8,"Tousling hair, returns with sling",47
WATERLOO,8,Later cycled to gatecrash court battle,47
OILCLOTH,8,Canvas regular sociolect at field hospital,47
ORGANISTS,9,Musicians' son roasting nuts,47
UNCARPETED,10,Like a hard landing?,47
RINGLEADER,10,Clue for R at the circus?,47
GATEKEEPER,10,"Sentry bullied a geek, Peter",47
MONTENEGRO,10,Day 10: ogre destroyed nation,47
TALKEDOVER,"6,4",Interrupted speech at England port,47
CRYPTOGRAM,10,Call got inverted within buggy code,47
PLUMTOMATO,"4,6","Philosopher accepted uniform jacket, cat and salad fruit",47
GETAMOVEON,"3,1,4,2","Hurry up politican Michael, working with friend back inside",47
TOTALECLIPSE,"5,7",Top celestial configuration!,47
OCCASIONALLY,12,Sometimes happening to make a friend,47
INSECTICIDES,12,Debuggers using Disc Ten as necessary,47
MORRISDANCER,"6,6",2 {STREET} performer bamboozled Mrs Coriander,47
GEOGRAPHICAL,12,Geezer to start roaming Archipelago of the Earth,47
FAITACCOMPLI,"4,8",Note it: current half of complication is foregone conclusion,47
BHAGAVADGITA,"8,4",Bishop and witch have discovered a figure (without me) and a sacred text,47
MEZZOSOPRANO,5-7,"Essentially, Pamela razzed glasses-wearing coward and rushed to get singer",47
OPENUNIVERSITY,"4,10",Read through this at home?,47
UNDERPERFORMED,14,Prune and Red Bananas' set could've done better,47
AFOREMENTIONED,14,"Earlier, made offer with overseers to replace heads of union committee",47
WEATHERBALLOON,"7,7","Withdraw, surrounding the right party and castle to get Identified Flying Object",47
MENTALGYMNASTICS,"6,10",Convoluted justifications suggesting mystic sang?,47
PERSONALPROPERTY,"8,8","For every kid with range, secure right to youth's sources and effects",47
LOWESTCOMMONDENOMINATOR,"6,6,11","Rabble is mad about 'Kanye 2000' —concerned with studio and a monitor, oddly",47
EASEL,5,"Stand inside, ceaselessly",48
AWFUL,5,Terrible flaw you fabricated,48
ARSON,5,Roofless vehicles going to be a crime,48
FROZE,5,Stopped and lifted fez or flatcap a little,48
ASSUME,6,"Behind you, I suppose",48
SOLVER,6,You moonstruck lovers?,48
SORTOF,"4,2",Anagram indicator-ish?,48
ADHERE,6,Stick billboard in this location,48
EPOCHS,6,Electronic virus reported for ages?,48
JUSTSO,"4,2","Exactly like those duels, nothing much later",48
SQUIRM,6,Short gentleman gets male to feel humiliation,48
STRIDE,6,"Payment system, penny-for-penny, is a big step forward",48
LANGUID,7,Lauding cooks for flagging,48
HANDLER,7,Name right person in charge,48
ONEEYED,3-4,I said Jack would be like Polyphemus,48
STIFFEN,7,Sweetener rarely contains scrap of starch,48
CEMETERY,8,Dead centre?,48
ORBITING,8,"Or really cold, travelling around",48
KEYBOARD,8,Spooner's drone triad on instrument,48
OINTMENT,8,"Potion? Unfortunately, I'm not ten!",48
HEAVIEST,8,Toughest competes in qualifying round,48
DYSLEXIA,8,Daily sex perhaps a problem in Reading,48
STIMULUS,8,"Something arousing: a package, perhaps?",48
GALAXIES,8,"Many stars at parties—about ten, that is",48
COTTAGEINDUSTRY,"7,8",New strategy: conduit for small businesses,48
UNCOPYRIGHTABLE,15,Naughtily tying up bachelor in public domain,48
THOR,4,God of the harvest offered rye at first,49
NERO,4,"Great-great-grandson of 1 {AUGUSTUS} is somewhat Florentine, on reflection",49
HADES,5,Leader to finish in ghost's realm,49
MEETS,5,"We hear Turkey, for example, finally funds hunting parties",49
ARTIST,6,Tristan snubbed Byzantine sculptor,49
AUROUS,6,"Golden cattle church rejected, you embraced",49
FIASCO,6,"100 trapped in Sofia, injured in catastrophe",49
HEARTH,6,Hestia's domain is capital of Hellenic planet,49
STANCE,6,Attitude of Saint Agrippina's final new church,49
MAORIS,6,"Islanders explore to the west, with Tunisian focus",49
TIGRIS,6,I interrupt cats leaving east to get Flower of Baghdad,49
VIADUCT,7,Bridge through Channel,49
INFERNO,7,Figure out number 20 {HADES}?,49
ASUNDER,7,"Divided coasts of Dalmatia with runes, somehow",49
ORINOCO,7,River of endless drink and loch found in castle,49
INVADER,7,"One finally on Volga's banks, the German aggressor",49
TEATREE,"3,4",Hercules initially left arena with butt of olive oil,49
ADAPTORS,8,Do exercises with Sparta's ports,49
EMBALMER,8,Mummy would be nothing without him!,49
FARMHAND,8,"Distant, heartless Maharajah with labourer",49
CYCLOPES,8,Giants Orion and Porphyrion initially stop revolutions,49
CHOPSUEY,"4,4",Chinese fare like turbulent waters: sue for peace at first,49
ENSLAVES,8,"Macedonian, perhaps, often meanders around and takes liberties?",49
SUZERAIN,8,Polity in control of foreign affairs somehow urbanizes without bishop,49
ANNODOMINI,"4,6","Minoan Adonis' naked, arousing dating standard",49
NORTHERNER,10,"Confusing 25 {THOR} with 2 {NERO} almost twice, like Anthony to Cleopatra?",49
AUGUSTUSCAESAR,"8,6","First emperor is dignified with a small saucer, flying?",49
SMUG,4,Superior sticks returned,50
ITCH,4,Discomfort from headless magician,50
JINX,4,Curse Jack and his one naked kiss!,50
PODS,4,Quietly announced chances for dolphins,50
OCHRE,5,Pigment job for none to put first,50
LISZT,5,Pianist's anthology includes Mozart's Third,50
PALACE,6,A friend above splendid house,50
ENAMEL,6,Finish the Argentinian handle inside,50
TATTOO,6,Ink found in thermostat to overregulate,50
ABJECT,6,"Awful to disapprove, having got one for nothing!",50
NOTABLE,7,Impossible to get famous?,50
LACQUER,7,Reportedly one wanting varnish,50
PLACEBO,7,Area staff doesn't actually do anything?,50
ANTHRAX,7,Empty Andalusian chest without Oscar's hazardous substance?,50
INEXPERT,8,"Amateur at Miner Expo, Perth out of bounds",50
CARCHASE,"3,5",Action scene of Cabinet going around the bend?,50
LEAPYEAR,"4,4","King caught gorilla holding fork in 2020, perhaps",50
TESTTUBE,"4,4",We hear Earl Grey perhaps shepherds rams from the East—this might have a solution?,50
BLUEWHALE,"4,5",Navy perhaps heard cry of sea creature,50
SLEEPWITH,"5,4",Do the wimples Mike lost make a difference?,50
REDUCTION,9,Smaller amount of communist oil exported November,50
HEARTBEAT,9,"To Reverend Bartholomew, passion is a sign of life",50
HELIOTROPE,10,Rocky eolith supported by cord in shade,50
SACRAMENTO,10,Eating noodles (otherwise tacos) in California,50
ONCEINABLUEMOON,"4,2,1,4,4","One Columbian and one Byzantine, occasionally",50
UNCONTROVERSIAL,15,Accepting explorers' new inoculant without debate,50
POINTOFNORETURN,"5,2,2,6","Destination, having bought single ticket at critical moment?",50
ONYX,4,Steer around New York stone,51
SNAP,4,Revolutionary criticises photograph,51
NAFF,4,Inferior discharged naphtha very loudly,51
STYE,4,Cycling 15 {MAJESTY} without returning jam is viewer's complaint,51
OPENING,7,Opportunity gap,51
HABITAT,7,Tendency at home...,51
MAJESTY,7,Can take joke with dignity,51
ESSENCE,7,Egghead edited scenes in nature,51
CALCIUM,7,"I am naked, occult, eldritch and metal",51
DECRYPT,7,Translate hockey feint criticised on air,51
VARNISH,7,...for River to wear camper sort of coat,51
VERDICT,7,Disrobing whenever dictator makes decision,51
STRETCHTHETRUTH,"7,3,5",Fudge crust he spread?,51
STATUEOFLIBERTY,"6,2,8",One carrying a torch for the new guys?,51
BIRTHDAYPRESENT,"8,7",Spooner's lack of sound now a regular gift?,51
INSTRUMENTATION,15,Play guitar for a penny in hollow arrangement,51
LADIESINWAITING,6-2-8,Retinue in bathroom preparing to ambush topless king,51
PERSONANONGRATA,"7,3,5",Outcast and someone unnamed discovered Margate bananas,51
WINNINGPOSITION,"7,8","Smile, perhaps, at place where you have the advantage?",51
PARTHENOGENESIS,15,Separate bird and egg at beginning for unusual reproduction,51
CROC,4,Short pitcher's shoe,52
BRUV,4,Dude's dry shirt replaced by shred of V-neck,52
AMORAL,6,"Left with smell rising, uncaring",52
ABSORB,6,Consume six-pack or bottle initially,52
SCRIMP,6,Save shellfish at lower temperature?,52
ROADEO,6,Often roo bar does OK in driving contest,52
CASTLE,6,Keep charged particle away from coastline,52
SINTAX,"3,3",Spooner's metal instrument may be added to alcohol?,52
STIGMA,6,Greek character carries hint of treachery and shame,52
CHINTZ,6,Some furniture at Colditz's borders contains a bit of help,52
UGLIER,6,Plainer one in marching band loses head going around island,52
NASDAQ,"6, inits",Stock exchange starts to nefariously activate supranational dominion: a 'quasipolity'!,52
TUBAIST,7,In pants I abutted revolutionary musician,52
SASHIMI,7,"In Arkansas, him introducing Japanese dish",52
ASTEROID,8,A drug giving heavenly body,52
AIRSCREW,8,Song's band on part of aeroplane,52
POTAUFEU,3-2-3,Somehow endlessly eat up tofu stew,52
MISSPEAK,8,Say the wrong thing and wish for mountain,52
ELDRITCH,8,"Weird, the Spanish channel covers resistance",52
STARLING,8,One instead of England's first magnificent bird,52
BREAKUPS,8,Divisions sound like asses with trophies on the radio,52
SHATRANJ,8,Persian king almost on odd terrain with Jack's chess precursor,52
BETTERHALF,"6,4",Spouse suggests bet?,52
SYNCRETISM,10,"Align with Mister Fancy, bringing together various religious beliefs",52
DAYLIGHTROBBERY,"8,7",Criminal hobbit and Edgy Larry's extortion,52
CENTRALAMERICAN,"7,8","Penny-artist less cool; I may get Guatemalan, perhaps",52
DEED,4,"Either way, act!",53
STAY,4,Corset's suspension,53
LULL,4,Calm... left turn! Left! LEFT!!,53
ADDS,4,Includes one cutting in conversation?,53
LYRE,4,Instrument in whirlpool left for good,53
ABLY,4,...a bishop got fifty with fork masterfully,53
DENIM,5,Dug up blue material,53
DICER,5,Doctors accepts diamonds for gambler,53
LOGIC,5,Part of blog I created for good reason?,53
EXTOL,5,Praise some monoglot xenophiles from the East,53
ROCKY,5,Wrestler 'Arrogant Charlie' replaced by Romeo,53
